x-coordinate,y-coordinate,Similarity_score
 10.1083%jcb.201201133html,10.1002%ijc.27627html,0.07551936547901365
 10.1083%jcb.201201133html,10.1002%ijc.27730html,0.09051044084030889
 10.1083%jcb.201201133html,10.1002%ijc.27863html,0.11746345590675923
 10.1083%jcb.201201133html,10.1002%ijc.27917html,0.08862255484823275
 10.1083%jcb.201201133html,10.1002%ijc.27927html,0.10873066113306121
 10.1083%jcb.201201133html,10.1002%ijc.27989html,0.9011620603940991
 10.1083%jcb.201201133html,10.1002%ijc.28001html,0.9011620603940991
 10.1083%jcb.201201133html,10.1002%ijc.28032html,0.9011620603940991
 10.1083%jcb.201201133html,10.1002%ijc.28280html,0.9011620603940991
 10.1083%jcb.201201133html,10.1002%ijc.28289html,0.9011620603940991
 10.1083%jcb.201201133html,10.1016%j.ccell.2014.09.008html,0.0693443786187393
 10.1083%jcb.201201133html,10.1016%j.ccr.2012.10.003html,0.07937181071219243
 10.1083%jcb.201201133html,10.1016%j.ccr.2013.02.018html,0.10262473973869046
 10.1083%jcb.201201133html,10.1016%j.ccr.2013.04.019html,0.1056325102837782
 10.1083%jcb.201201133html,10.1016%j.ccr.2013.12.007html,0.10112759083797716
 10.1083%jcb.201201133html,10.1016%j.cyto.2003.11.014html,0.08731676927691462
 10.1083%jcb.201201133html,10.1016%j.cyto.2004.11.009html,0.11169077945021909
 10.1083%jcb.201201133html,10.1016%j.cyto.2004.12.015html,0.08815855756832272
 10.1083%jcb.201201133html,10.1016%j.cyto.2005.12.007html,0.11116063742394679
 10.1083%jcb.201201133html,10.1016%j.cyto.2006.07.009html,0.10926050972329768
 10.1083%jcb.201201133html,10.1016%j.cyto.2006.12.003html,0.1359807986622779
 10.1083%jcb.201201133html,10.1016%j.cyto.2007.01.002html,0.10676339799841293
 10.1083%jcb.201201133html,10.1016%j.cyto.2007.04.003html,0.15534902456059135
 10.1083%jcb.201201133html,10.1016%j.cyto.2008.01.001html,0.12751348880006658
 10.1083%jcb.201201133html,10.1016%j.cyto.2008.02.005html,0.09209731965141564
 10.1083%jcb.201201133html,10.1016%j.cyto.2008.06.003html,0.14069798320257668
 10.1083%jcb.201201133html,10.1016%j.cyto.2008.06.007html,0.10964075713328911
 10.1083%jcb.201201133html,10.1016%j.cyto.2008.12.013html,0.12007354595738892
 10.1083%jcb.201201133html,10.1016%j.cyto.2008.12.015html,0.11215794442610832
 10.1083%jcb.201201133html,10.1016%j.cyto.2008.12.021html,0.1558154983251702
 10.1083%jcb.201201133html,10.1016%j.cyto.2009.07.004html,0.11638344228286439
 10.1083%jcb.201201133html,10.1016%j.cyto.2009.11.020html,0.4096439473333161
