x-coordinate,y-coordinate,Similarity_score
 10.1083%jcb.201201133html,10.1002%ijc.27627html,0.07342118414476961
 10.1083%jcb.201201133html,10.1002%ijc.27730html,0.07174433661811985
 10.1083%jcb.201201133html,10.1002%ijc.27863html,0.07081574529116275
 10.1083%jcb.201201133html,10.1002%ijc.27917html,0.07224011084440796
 10.1083%jcb.201201133html,10.1002%ijc.27927html,0.07162125109349904
 10.1083%jcb.201201133html,10.1002%ijc.27989html,0.4213054187192118
 10.1083%jcb.201201133html,10.1002%ijc.28001html,0.4213054187192118
 10.1083%jcb.201201133html,10.1002%ijc.28032html,0.3498768472906404
 10.1083%jcb.201201133html,10.1002%ijc.28280html,0.4213054187192118
 10.1083%jcb.201201133html,10.1002%ijc.28289html,0.4213054187192118
 10.1083%jcb.201201133html,10.1016%j.ccell.2014.09.008html,0.08207203833338128
 10.1083%jcb.201201133html,10.1016%j.ccr.2012.10.003html,0.07287759628957446
 10.1083%jcb.201201133html,10.1016%j.ccr.2013.02.018html,0.07174651692752754
 10.1083%jcb.201201133html,10.1016%j.ccr.2013.04.019html,0.0729946854529725
 10.1083%jcb.201201133html,10.1016%j.ccr.2013.12.007html,0.07255572618549033
 10.1083%jcb.201201133html,10.1016%j.cyto.2003.11.014html,0.07228449758608835
 10.1083%jcb.201201133html,10.1016%j.cyto.2004.11.009html,0.07235329703569271
 10.1083%jcb.201201133html,10.1016%j.cyto.2004.12.015html,0.07297249208213219
 10.1083%jcb.201201133html,10.1016%j.cyto.2005.12.007html,0.07170352445609551
 10.1083%jcb.201201133html,10.1016%j.cyto.2006.07.009html,0.07168250240204976
 10.1083%jcb.201201133html,10.1016%j.cyto.2006.12.003html,0.07206686667407436
 10.1083%jcb.201201133html,10.1016%j.cyto.2007.01.002html,0.07141191920086165
 10.1083%jcb.201201133html,10.1016%j.cyto.2007.04.003html,0.07044670406925824
 10.1083%jcb.201201133html,10.1016%j.cyto.2008.01.001html,0.07371781945284661
 10.1083%jcb.201201133html,10.1016%j.cyto.2008.02.005html,0.07156450334604214
 10.1083%jcb.201201133html,10.1016%j.cyto.2008.06.003html,0.07152483699670631
 10.1083%jcb.201201133html,10.1016%j.cyto.2008.06.007html,0.07207628872544336
 10.1083%jcb.201201133html,10.1016%j.cyto.2008.12.013html,0.07115569224527352
 10.1083%jcb.201201133html,10.1016%j.cyto.2008.12.015html,0.07235329703569271
 10.1083%jcb.201201133html,10.1016%j.cyto.2008.12.021html,0.07210008669024148
 10.1083%jcb.201201133html,10.1016%j.cyto.2009.07.004html,0.07253796924252565
 10.1083%jcb.201201133html,10.1016%j.cyto.2009.11.020html,0.5933990147783251
 10.1083%jcb.201201133html,10.1016%j.cyto.2010.09.007html,0.5933990147783251
 10.1083%jcb.201201133html,10.1016%j.cyto.2011.02.016html,0.07170352445609551
 10.1083%jcb.201201133html,10.1016%j.cyto.2011.06.005html,0.07130682119697307
 10.1083%jcb.201201133html,10.1016%j.cyto.2011.06.006html,0.07257065458886769
 10.1083%jcb.201201133html,10.1016%j.cyto.2011.08.017html,0.07983719665816658
 10.1083%jcb.201201133html,10.1016%j.cyto.2012.04.029html,0.49339901477832515
 10.1083%jcb.201201133html,10.1016%j.cyto.2012.05.021html,0.5933990147783251
 10.1083%jcb.201201133html,10.1016%j.cyto.2012.08.025html,0.07088450878599861
 10.1083%jcb.201201133html,10.1016%j.cyto.2013.04.005html,0.07141191920086165
 10.1083%jcb.201201133html,10.1016%j.cyto.2013.04.009html,0.07148269948919483
 10.1083%jcb.201201133html,10.1016%j.cyto.2014.07.249html,0.07133462131413071
 10.1083%jcb.201201133html,10.1016%j.jaut.2004.10.003html,0.07152297696069598
 10.1083%jcb.201201133html,10.1016%j.jaut.2005.09.016html,0.07133301583624019
 10.1083%jcb.201201133html,10.1016%j.jaut.2006.05.001html,0.0712568058076225
