article,author,co-authors
Identification of the pollen self-incompatibility determinant in Papaver rhoeas,Barend H J de Graaf,N/A
Identification of the pollen self-incompatibility determinant in Papaver rhoeas,Natalie Hadjiosif,N/A
Identification of the pollen self-incompatibility determinant in Papaver rhoeas,Ruth Perry,N/A
Identification of the pollen self-incompatibility determinant in Papaver rhoeas,Natalie S Poulter,N/A
A SUMOylation-defective MITF germline mutation predisposes to melanoma and renal carcinoma,Mahaut de Lichy,N/A
A SUMOylation-defective MITF germline mutation predisposes to melanoma and renal carcinoma,Corine Bertolotto,N/A
A SUMOylation-defective MITF germline mutation predisposes to melanoma and renal carcinoma,Sandy Giuliano,N/A
A SUMOylation-defective MITF germline mutation predisposes to melanoma and renal carcinoma,Thomas Strub,N/A
D14膼SCFD3-dependent degradation of D53 regulates strigolactone signalling,Qibing Lin,50
D14膼SCFD3-dependent degradation of D53 regulates strigolactone signalling,Lihong Zhu,N/A
D14膼SCFD3-dependent degradation of D53 regulates strigolactone signalling,Yulong Ren,50
D14膼SCFD3-dependent degradation of D53 regulates strigolactone signalling,Kunneng Zhou,N/A
Osteopontin signaling upregulates cyclooxygenase-2 expression in tumor-associated macrophages leading to enhanced angiogenesis and melanoma growth via a9b1 integrin,Remya Raja,N/A
Osteopontin signaling upregulates cyclooxygenase-2 expression in tumor-associated macrophages leading to enhanced angiogenesis and melanoma growth via a9b1 integrin,D Thorat,37
Osteopontin signaling upregulates cyclooxygenase-2 expression in tumor-associated macrophages leading to enhanced angiogenesis and melanoma growth via a9b1 integrin,Gowrishankar Soundararajan,50
Osteopontin signaling upregulates cyclooxygenase-2 expression in tumor-associated macrophages leading to enhanced angiogenesis and melanoma growth via a9b1 integrin,Tushar V. Patil,N/A
The deubiquitylase USP37 links REST to the control of p27 stability and cell proliferation,Akanksha Singh,50
The deubiquitylase USP37 links REST to the control of p27 stability and cell proliferation,Monica Gireud,N/A
The deubiquitylase USP37 links REST to the control of p27 stability and cell proliferation,Pete Taylor,N/A
The deubiquitylase USP37 links REST to the control of p27 stability and cell proliferation,Dean A. Lee,N/A
Repression of microRNA-768-3p by MEK/ERK signalling contributes to enhanced mRNA translation in human melanoma,Amanda Croft,50
Repression of microRNA-768-3p by MEK/ERK signalling contributes to enhanced mRNA translation in human melanoma,Hsin-Yi Tseng,50
Repression of microRNA-768-3p by MEK/ERK signalling contributes to enhanced mRNA translation in human melanoma,Su Tang Guo,N/A
Repression of microRNA-768-3p by MEK/ERK signalling contributes to enhanced mRNA translation in human melanoma,Lei Jin,50
"STIM1, a direct target of microRNA-185, promotes tumor metastasis and is associated with poor prognosis in colorectal cancer",X Liu,N/A
"STIM1, a direct target of microRNA-185, promotes tumor metastasis and is associated with poor prognosis in colorectal cancer",B Feng,N/A
"STIM1, a direct target of microRNA-185, promotes tumor metastasis and is associated with poor prognosis in colorectal cancer",Q Wu,N/A
"STIM1, a direct target of microRNA-185, promotes tumor metastasis and is associated with poor prognosis in colorectal cancer",N Liu,N/A
MMP7-mediated cleavage of nucleolin at Asp255 induces MMP9 expression to promote tumor malignancy,S-C Lin,N/A
MMP7-mediated cleavage of nucleolin at Asp255 induces MMP9 expression to promote tumor malignancy,P-S Lu,N/A
MMP7-mediated cleavage of nucleolin at Asp255 induces MMP9 expression to promote tumor malignancy,W-C Chang,N/A
MMP7-mediated cleavage of nucleolin at Asp255 induces MMP9 expression to promote tumor malignancy,C-Y Hung,N/A
Distinct expression of C4.4A in colorectal cancer detected by different antibodies,Masahisa Ohtsuka,50
Distinct expression of C4.4A in colorectal cancer detected by different antibodies,Mamoru Uemura,50
Distinct expression of C4.4A in colorectal cancer detected by different antibodies,Naotsugu Haraguchi,N/A
Distinct expression of C4.4A in colorectal cancer detected by different antibodies,Hirofumi Yamamoto,N/A
Adenovirus-mediated overexpression of BMP-9 inhibits human osteosarcoma cell growth and migration through downregulation of the PI3K/AKT pathway,Yuehua Yang,N/A
Adenovirus-mediated overexpression of BMP-9 inhibits human osteosarcoma cell growth and migration through downregulation of the PI3K/AKT pathway,Shengdan Jiang,N/A
Adenovirus-mediated overexpression of BMP-9 inhibits human osteosarcoma cell growth and migration through downregulation of the PI3K/AKT pathway,Binbin Ni,N/A
Adenovirus-mediated overexpression of BMP-9 inhibits human osteosarcoma cell growth and migration through downregulation of the PI3K/AKT pathway,Ke Chen,N/A
Promoter methylation of RASSF1A modulates the effect of the microtubule-targeting agent docetaxel in breast cancer,Ok Hee Woo,N/A
Promoter methylation of RASSF1A modulates the effect of the microtubule-targeting agent docetaxel in breast cancer,Eun Young Gil,N/A
Promoter methylation of RASSF1A modulates the effect of the microtubule-targeting agent docetaxel in breast cancer,Hoiseon Jeong,50
Promoter methylation of RASSF1A modulates the effect of the microtubule-targeting agent docetaxel in breast cancer,Young Mi Whang,N/A
Preventive effect of caffeine and curcumin on hepato_ carcinogenesis in diethylnitrosamine_induced rats,Jun-ichi Okano,N/A
Preventive effect of caffeine and curcumin on hepato_ carcinogenesis in diethylnitrosamine_induced rats,Takakazu Nagahara,N/A
Preventive effect of caffeine and curcumin on hepato_ carcinogenesis in diethylnitrosamine_induced rats,Ryo Abe,N/A
Preventive effect of caffeine and curcumin on hepato_ carcinogenesis in diethylnitrosamine_induced rats,Ryu Imamoto,N/A
Leptin stimulates ovarian cancer cell growth and inhibits apoptosis by increasing cyclin D1 and Mcl-1 expression via the activation of the MEK/ERK1/2 and PI3K/Akt signaling pathways,Yuan-Ching Chang,N/A
Leptin stimulates ovarian cancer cell growth and inhibits apoptosis by increasing cyclin D1 and Mcl-1 expression via the activation of the MEK/ERK1/2 and PI3K/Akt signaling pathways,Michael S Lan,50
Leptin stimulates ovarian cancer cell growth and inhibits apoptosis by increasing cyclin D1 and Mcl-1 expression via the activation of the MEK/ERK1/2 and PI3K/Akt signaling pathways,Mary B Breslin,N/A
Genetic and epigenetic alterations are involved in the regulation of TPM1 in cholangiocarcinoma,Xiaoyuan Wang,N/A
Genetic and epigenetic alterations are involved in the regulation of TPM1 in cholangiocarcinoma,Wei Zheng,N/A
Genetic and epigenetic alterations are involved in the regulation of TPM1 in cholangiocarcinoma,Kedong Li,N/A
Genetic and epigenetic alterations are involved in the regulation of TPM1 in cholangiocarcinoma,Haofeng Liu,N/A
Functional analysis of Zyxin in cell migration and invasive potential of oral squamous cell carcinoma cells,Haofeng Liu,N/A
Functional analysis of Zyxin in cell migration and invasive potential of oral squamous cell carcinoma cells,Haofeng Liu,N/A
Functional analysis of Zyxin in cell migration and invasive potential of oral squamous cell carcinoma cells,Kedong Li,N/A
Functional analysis of Zyxin in cell migration and invasive potential of oral squamous cell carcinoma cells,Haofeng Liu,N/A
Cisplatin in combination with zoledronic acid: A synergistic effect in triple-negative breast cancer cell lines,Chiara Liverani,50
Cisplatin in combination with zoledronic acid: A synergistic effect in triple-negative breast cancer cell lines,Laura Mercatali,50
Cisplatin in combination with zoledronic acid: A synergistic effect in triple-negative breast cancer cell lines,Emanuele Sacanna,42
Cisplatin in combination with zoledronic acid: A synergistic effect in triple-negative breast cancer cell lines,Michele Zanoni,50
Estrogen receptor _ inhibits estradiol-induced proliferation and migration of MCF-7 cells through regulation of mitofusin 2,Yueping Liu,50
Estrogen receptor _ inhibits estradiol-induced proliferation and migration of MCF-7 cells through regulation of mitofusin 2,Cuizhi Geng,N/A
Estrogen receptor _ inhibits estradiol-induced proliferation and migration of MCF-7 cells through regulation of mitofusin 2,Xiaowei Qi,50
Estrogen receptor _ inhibits estradiol-induced proliferation and migration of MCF-7 cells through regulation of mitofusin 2,Jun Jiang,N/A
A Critical Role for Notch Signaling in the Formation of Cholangiocellular Carcinomas,Irina Nickeleit,N/A
A Critical Role for Notch Signaling in the Formation of Cholangiocellular Carcinomas,Torsten Wuestefeld,50
A Critical Role for Notch Signaling in the Formation of Cholangiocellular Carcinomas,Inga Sörensen,50
A Critical Role for Notch Signaling in the Formation of Cholangiocellular Carcinomas,Daniel Dauch,N/A
Loss of the Par3 Polarity Protein Promotes Breast Tumorigenesis and Metastasis,Luke McCaffrey,N/A
Loss of the Par3 Polarity Protein Promotes Breast Tumorigenesis and Metastasis,JoAnne Montalbano,N/A
Loss of the Par3 Polarity Protein Promotes Breast Tumorigenesis and Metastasis,Constantina Mihai,N/A
