article,author,co-authors
Chronic Morphine Treatment Attenuates Cell Growth of Human BT474 Breast Cancer Cells by Rearrangement of the ErbB Signalling Network,Sarah Koutnik,N/A
Chronic Morphine Treatment Attenuates Cell Growth of Human BT474 Breast Cancer Cells by Rearrangement of the ErbB Signalling Network,Hermann Ammer,50
Katanin Localization Requires Triplet Microtubules in Chlamydomonas reinhardtii,Eileen O'Toole,50
Katanin Localization Requires Triplet Microtubules in Chlamydomonas reinhardtii,Jessica M. Esparza,N/A
Katanin Localization Requires Triplet Microtubules in Chlamydomonas reinhardtii,Linya Li,N/A
Katanin Localization Requires Triplet Microtubules in Chlamydomonas reinhardtii,Benjamin Kozak,11
Curcumin Modulates the Inflammatory Response and Inhibits Subsequent Fibrosis in a Mouse Model of Viral- induced Acute Respiratory Distress Syndrome,Fangfang Zhang,32
Curcumin Modulates the Inflammatory Response and Inhibits Subsequent Fibrosis in a Mouse Model of Viral- induced Acute Respiratory Distress Syndrome,Guangliang Liu,50
Curcumin Modulates the Inflammatory Response and Inhibits Subsequent Fibrosis in a Mouse Model of Viral- induced Acute Respiratory Distress Syndrome,Ruixue Wang,N/A
Curcumin Modulates the Inflammatory Response and Inhibits Subsequent Fibrosis in a Mouse Model of Viral- induced Acute Respiratory Distress Syndrome,Steven D London,50
miR-221 Promotes Tumorigenesis in Human Triple Negative Breast Cancer Cells,Pramod P Mehta,50
miR-221 Promotes Tumorigenesis in Human Triple Negative Breast Cancer Cells,Sangita M. Baxi,N/A
miR-221 Promotes Tumorigenesis in Human Triple Negative Breast Cancer Cells,Min-Jean Yin,N/A
HIV-1 Tat Protein Increases Microglial Outward K+ Current and Resultant Neurotoxic Activity,Han Liu,N/A
HIV-1 Tat Protein Increases Microglial Outward K+ Current and Resultant Neurotoxic Activity,Peng Xu,50
HIV-1 Tat Protein Increases Microglial Outward K+ Current and Resultant Neurotoxic Activity,Cory Collins,N/A
HIV-1 Tat Protein Increases Microglial Outward K+ Current and Resultant Neurotoxic Activity,Jingdong Zhang,23
Elevated Maspin Expression Is Associated with Better Overall Survival in Esophageal Squamous Cell Carcinoma (ESCC),Jianzhi Zhang,50
Elevated Maspin Expression Is Associated with Better Overall Survival in Esophageal Squamous Cell Carcinoma (ESCC),S.H. Dzinic,50
Elevated Maspin Expression Is Associated with Better Overall Survival in Esophageal Squamous Cell Carcinoma (ESCC),Yang Wang,50
Elevated Maspin Expression Is Associated with Better Overall Survival in Esophageal Squamous Cell Carcinoma (ESCC),Shaolei Li,N/A
LPS Unmasking of Shigella flexneri Reveals Preferential Localisation of Tagged Outer Membrane Protease IcsP to Septa and New Poles,Renato Morona,N/A
LPS Unmasking of Shigella flexneri Reveals Preferential Localisation of Tagged Outer Membrane Protease IcsP to Septa and New Poles,Matthew Thomas Doyle,N/A
"miR-1915 and miR-1225-5p Regulate the Expression of CD133, PAX2 and TLR2 in Adult Renal Progenitor Cells",Claudia Curci,N/A
"miR-1915 and miR-1225-5p Regulate the Expression of CD133, PAX2 and TLR2 in Adult Renal Progenitor Cells",Grazia Serino,N/A
"miR-1915 and miR-1225-5p Regulate the Expression of CD133, PAX2 and TLR2 in Adult Renal Progenitor Cells",Vincenzo Costantino,50
"miR-1915 and miR-1225-5p Regulate the Expression of CD133, PAX2 and TLR2 in Adult Renal Progenitor Cells",Sharon Natasha Cox,50
Mitochondrial Dysfunction Promotes Breast Cancer Cell Migration and Invasion through HIF1a Accumulation via Increased Production of Reactive Oxygen Species,Qing Zhang,N/A
Mitochondrial Dysfunction Promotes Breast Cancer Cell Migration and Invasion through HIF1a Accumulation via Increased Production of Reactive Oxygen Species,Sulian Chen,N/A
Mitochondrial Dysfunction Promotes Breast Cancer Cell Migration and Invasion through HIF1a Accumulation via Increased Production of Reactive Oxygen Species,Binbin Fang,N/A
Mitochondrial Dysfunction Promotes Breast Cancer Cell Migration and Invasion through HIF1a Accumulation via Increased Production of Reactive Oxygen Species,Qingling Yang,50
"PrPST, a Soluble, Protease Resistant and Truncated PrP Form Features in the Pathogenesis of a Genetic Prion Disease",Orli Binyamin,30
"PrPST, a Soluble, Protease Resistant and Truncated PrP Form Features in the Pathogenesis of a Genetic Prion Disease",Kati Frid,40
"PrPST, a Soluble, Protease Resistant and Truncated PrP Form Features in the Pathogenesis of a Genetic Prion Disease",Ruth Gabizon,N/A
"PrPST, a Soluble, Protease Resistant and Truncated PrP Form Features in the Pathogenesis of a Genetic Prion Disease",Michal Mizrahi,N/A
Baicalein Selectively Induces Apoptosis in Activated Lymphocytes and Ameliorates Concanavalin A-Induced Hepatitis in Mice,Lei Shan,N/A
Baicalein Selectively Induces Apoptosis in Activated Lymphocytes and Ameliorates Concanavalin A-Induced Hepatitis in Mice,Yaping Hua,50
Baicalein Selectively Induces Apoptosis in Activated Lymphocytes and Ameliorates Concanavalin A-Induced Hepatitis in Mice,Dan Wang,N/A
Baicalein Selectively Induces Apoptosis in Activated Lymphocytes and Ameliorates Concanavalin A-Induced Hepatitis in Mice,Huawu Zeng,N/A
Epigenetic Regulation of Cardiac Progenitor Cells Marker c-kit by Stromal Cell Derived Factor-1a,Yuyu Yao,N/A
Epigenetic Regulation of Cardiac Progenitor Cells Marker c-kit by Stromal Cell Derived Factor-1a,Zhongpu Chen,N/A
Epigenetic Regulation of Cardiac Progenitor Cells Marker c-kit by Stromal Cell Derived Factor-1a,Xiaodong Pan,N/A
Epigenetic Regulation of Cardiac Progenitor Cells Marker c-kit by Stromal Cell Derived Factor-1a,Long Chen,N/A
Heat Shock Protein 27 Is Spatially Distributed in the Human Placenta and Decreased during Labor,Fiona Lyall,N/A
Heat Shock Protein 27 Is Spatially Distributed in the Human Placenta and Decreased during Labor,Alexander Fletcher,N/A
DUSP1 Is a Novel Target for Enhancing Pancreatic Cancer Cell Sensitivity to Gemcitabine,A. Gore,50
DUSP1 Is a Novel Target for Enhancing Pancreatic Cancer Cell Sensitivity to Gemcitabine,Julie L. Wilson,N/A
DUSP1 Is a Novel Target for Enhancing Pancreatic Cancer Cell Sensitivity to Gemcitabine,Murray Korc,N/A
Orphan Nuclear Receptor Errc Induces C-Reactive Protein Gene Expression through Induction of ER-Bound Bzip Transmembrane Transcription Factor CREBH,Don-Kyu Kim,N/A
Orphan Nuclear Receptor Errc Induces C-Reactive Protein Gene Expression through Induction of ER-Bound Bzip Transmembrane Transcription Factor CREBH,Seung-Hoi Koo,50
