article,author,co-authors
Anti-inflammatory effect of aldose reductase inhibition in murine polymicrobial sepsis,Satish K. Srivastava,N/A
Anti-inflammatory effect of aldose reductase inhibition in murine polymicrobial sepsis,Kota V Ramana,50
IL-13 induces translocation of NF-kappaB in cultured human bronchial smooth muscle cells,Yoshihiko Chiba,50
IL-13 induces translocation of NF-kappaB in cultured human bronchial smooth muscle cells,Miwa Misawa,N/A
Effect of sodium butyrate on lung vascular TNFSF15 (TL1A) expression: Differential expression patterns in pulmonary artery and microvascular endothelial cells,Miwa Misawa,N/A
Effect of sodium butyrate on lung vascular TNFSF15 (TL1A) expression: Differential expression patterns in pulmonary artery and microvascular endothelial cells,Miwa Misawa,N/A
STAT3 induces muscle stem cell differentiation by interaction with myoD,Ying Xu,N/A
STAT3 induces muscle stem cell differentiation by interaction with myoD,Wei Li,N/A
STAT3 induces muscle stem cell differentiation by interaction with myoD,Guanjun Wang,N/A
STAT3 induces muscle stem cell differentiation by interaction with myoD,Yanqiu Song,N/A
Signaling pathway underlying the up-regulatory effect of TNF-a on the Na+/K+ ATPase in HepG2 cells,Sawsan Ibrahim Kreydiyyeh,50
Signaling pathway underlying the up-regulatory effect of TNF-a on the Na+/K+ ATPase in HepG2 cells,Zeina Dakroub,N/A
Signaling pathway underlying the up-regulatory effect of TNF-a on the Na+/K+ ATPase in HepG2 cells,Ola El Zein,12
MKP-1 regulates cytokine mRNA stability through selectively modulation subcellular translocation of AUF1,Yuhao Sun,N/A
MKP-1 regulates cytokine mRNA stability through selectively modulation subcellular translocation of AUF1,Courtney J Haycraft,N/A
MKP-1 regulates cytokine mRNA stability through selectively modulation subcellular translocation of AUF1,Viswanathan Palanisamy,50
MKP-1 regulates cytokine mRNA stability through selectively modulation subcellular translocation of AUF1,Keith L Kirkwood,50
"Adiponectin stimulates release of CCL2, -3, -4 and -5 while the surface abundance of CCR2 and -5 is simultaneously reduced in primary human monocytes",Celeste Faia,N/A
"Adiponectin stimulates release of CCL2, -3, -4 and -5 while the surface abundance of CCR2 and -5 is simultaneously reduced in primary human monocytes",Dorota Wyczechowska,50
"Adiponectin stimulates release of CCL2, -3, -4 and -5 while the surface abundance of CCR2 and -5 is simultaneously reduced in primary human monocytes",Duane Jeansonne,50
"Adiponectin stimulates release of CCL2, -3, -4 and -5 while the surface abundance of CCR2 and -5 is simultaneously reduced in primary human monocytes",Cecilia Vittori,N/A
Upregulation of PIAS1 protects against sodium taurocholate-induced severe acute pancreatitis associated with acute lung injury,Liya Huang,N/A
Upregulation of PIAS1 protects against sodium taurocholate-induced severe acute pancreatitis associated with acute lung injury,Yunwei Sun,N/A
Upregulation of PIAS1 protects against sodium taurocholate-induced severe acute pancreatitis associated with acute lung injury,Yaozong Yuan,N/A
CXCR1 and CXCR2 are novel mechano-sensors mediating laminar shear stress-induced endothelial cell migration,Ye Zeng,50
CXCR1 and CXCR2 are novel mechano-sensors mediating laminar shear stress-induced endothelial cell migration,Xiao-Jing Liu,N/A
CXCR1 and CXCR2 are novel mechano-sensors mediating laminar shear stress-induced endothelial cell migration,Hu-Rong Sun,N/A
CXCR1 and CXCR2 are novel mechano-sensors mediating laminar shear stress-induced endothelial cell migration,Chang Yu,N/A
Autocrine production of interleukin-8 confers cisplatin and paclitaxel resistance in ovarian cancer cells,Ye Qu,N/A
Autocrine production of interleukin-8 confers cisplatin and paclitaxel resistance in ovarian cancer cells,Xiu-Long Niu,50
Autocrine production of interleukin-8 confers cisplatin and paclitaxel resistance in ovarian cancer cells,Wei Jia Sun,N/A
Autocrine production of interleukin-8 confers cisplatin and paclitaxel resistance in ovarian cancer cells,Xiao Lei Zhang,N/A
"Upregulation of cytochrome P450 2J3/11,12-epoxyeicosatrienoic acid inhibits apoptosis in neonatal rat cardiomyocytes by a caspase-dependent pathway",Dong-Mei Zhang,N/A
"Upregulation of cytochrome P450 2J3/11,12-epoxyeicosatrienoic acid inhibits apoptosis in neonatal rat cardiomyocytes by a caspase-dependent pathway",Xiang-Jun Zeng,N/A
"Upregulation of cytochrome P450 2J3/11,12-epoxyeicosatrienoic acid inhibits apoptosis in neonatal rat cardiomyocytes by a caspase-dependent pathway",Jing Mu,N/A
"Upregulation of cytochrome P450 2J3/11,12-epoxyeicosatrienoic acid inhibits apoptosis in neonatal rat cardiomyocytes by a caspase-dependent pathway",Hui Yang,50
Differential activation of the inflammasome in THP-1 cells exposed to chrysotile asbestos and Libby 脭脭six-mix艕艕 amphiboles and subsequent activation of BEAS-2B cells,Naomi K Fukagawa,50
Differential activation of the inflammasome in THP-1 cells exposed to chrysotile asbestos and Libby 脭脭six-mix艕艕 amphiboles and subsequent activation of BEAS-2B cells,Mickey E. Gunter,50
Porphyromonas gingivalis lipopolysaccharide regulates interleukin (IL)-17 and IL-23 expression via SIRT1 modulation in human periodontal ligament cells,C. Zhang,N/A
Porphyromonas gingivalis lipopolysaccharide regulates interleukin (IL)-17 and IL-23 expression via SIRT1 modulation in human periodontal ligament cells,L J Jin,50
Porphyromonas gingivalis lipopolysaccharide regulates interleukin (IL)-17 and IL-23 expression via SIRT1 modulation in human periodontal ligament cells,Koichi Matsuo,N/A
Porphyromonas gingivalis lipopolysaccharide regulates interleukin (IL)-17 and IL-23 expression via SIRT1 modulation in human periodontal ligament cells,Y. Yang,N/A
Increases in inflammatory mediators in DRG implicate in the pathogenesis of painful neuropathy in Type 2 diabetes,Munmun Chattopadhyay,N/A
The effect of transforming growth factor _1 on the crosstalk between autophagy and apoptosis in the annulus fibrosus cells under serum deprivation,Bo Li,N/A
The effect of transforming growth factor _1 on the crosstalk between autophagy and apoptosis in the annulus fibrosus cells under serum deprivation,Yue-Hua Yang,N/A
The effect of transforming growth factor _1 on the crosstalk between autophagy and apoptosis in the annulus fibrosus cells under serum deprivation,Jiang-Wei Chen,N/A
The effect of transforming growth factor _1 on the crosstalk between autophagy and apoptosis in the annulus fibrosus cells under serum deprivation,Ke Chen,N/A
A Neoplastic Gene Fusion Mimics Trans-Splicing of RNAs in Normal Human Cells,Jinglan Wang,13
A Neoplastic Gene Fusion Mimics Trans-Splicing of RNAs in Normal Human Cells,Jeffrey Sklar,N/A
A Neoplastic Gene Fusion Mimics Trans-Splicing of RNAs in Normal Human Cells,Gil Mor,50
Regulation of Histone Acetylation in the Nucleus by Sphingosine-1-Phosphate,Jeremy Allegood,50
Regulation of Histone Acetylation in the Nucleus by Sphingosine-1-Phosphate,Michael Maceyka,N/A
Regulation of Histone Acetylation in the Nucleus by Sphingosine-1-Phosphate,Graham M Strub,N/A
Regulation of Histone Acetylation in the Nucleus by Sphingosine-1-Phosphate,Kuzhuvelil B Harikumar,50
Spreading Depression Triggers Headache by Activating Neuronal Panx1 Channels,Sefik Evren Erdener,50
Spreading Depression Triggers Headache by Activating Neuronal Panx1 Channels,Yasemin Gursoy-Ozdemir,50
Spreading Depression Triggers Headache by Activating Neuronal Panx1 Channels,Sevda Lule,50
Spreading Depression Triggers Headache by Activating Neuronal Panx1 Channels,Emine Eren-Koçak,50
Cleavage of CAD inhibitor in CAD activation and DNA degradation during apoptosis,Masato Enari,N/A
Cleavage of CAD inhibitor in CAD activation and DNA degradation during apoptosis,Shigekazu Nagata,N/A
14-3-3__ is required to prevent mitotic catastrophe after DNA damage,Heiko Hermeking,50
14-3-3__ is required to prevent mitotic catastrophe after DNA damage,Christoph Lengauer,N/A
14-3-3__ is required to prevent mitotic catastrophe after DNA damage,Kenneth W Kinzler,N/A
14-3-3__ is required to prevent mitotic catastrophe after DNA damage,Bert Vogelstein,50
Imbalance between pSmad3 and Notch induces CDK inhibitors in old muscle stem cells,Michael Hsu,N/A
Imbalance between pSmad3 and Notch induces CDK inhibitors in old muscle stem cells,Irina M Conboy,N/A
"Essential roles of PI(3)K膼p110b in cell growth, metabolism and tumorigenesis",Zhenning Liu,N/A
"Essential roles of PI(3)K膼p110b in cell growth, metabolism and tumorigenesis",Zhenning Liu,N/A
"Essential roles of PI(3)K膼p110b in cell growth, metabolism and tumorigenesis",Zhenning Liu,N/A
"Essential roles of PI(3)K膼p110b in cell growth, metabolism and tumorigenesis",Zhenning Liu,N/A
