article,author,co-authors
Preparation of Monoclonal Antibodies Cross-Reactive with Orthopoxviruses and Their Application for Direct Immunofluorescence Test,Takayuki Kobayashi,N/A
Preparation of Monoclonal Antibodies Cross-Reactive with Orthopoxviruses and Their Application for Direct Immunofluorescence Test,Yoji Kato,50
Preparation of Monoclonal Antibodies Cross-Reactive with Orthopoxviruses and Their Application for Direct Immunofluorescence Test,Nobutaka Wakamiya,N/A
Preparation of Monoclonal Antibodies Cross-Reactive with Orthopoxviruses and Their Application for Direct Immunofluorescence Test,Kazuyoshi Ikuta,N/A
Expression of bovine (Bos indicus) interleukin-18 in Escherichia coli and its biological activity,Dowlathabad Muralidhara Rao,50
Expression of bovine (Bos indicus) interleukin-18 in Escherichia coli and its biological activity,H.J. Dechamma,50
Expression of bovine (Bos indicus) interleukin-18 in Escherichia coli and its biological activity,Veluvarthy V.S. Suryanarayana,N/A
Expression of bovine (Bos indicus) interleukin-18 in Escherichia coli and its biological activity,Golla Ramalinga Reddy,N/A
"Investigation of the roles of T6SS genes in motility, biofilm formation and extracellular protease Asp production in Vibrio alginolyticus with modified Gateway-compatible plasmids",Huan Liu,19
"Investigation of the roles of T6SS genes in motility, biofilm formation and extracellular protease Asp production in Vibrio alginolyticus with modified Gateway-compatible plasmids",Yuanxing Zhang,N/A
"Investigation of the roles of T6SS genes in motility, biofilm formation and extracellular protease Asp production in Vibrio alginolyticus with modified Gateway-compatible plasmids",Lili Sheng,50
"Investigation of the roles of T6SS genes in motility, biofilm formation and extracellular protease Asp production in Vibrio alginolyticus with modified Gateway-compatible plasmids",Dongfeng Gu,N/A
Multiple controls affect arsenite oxidase gene expression in Herminiimonas arsenicoxydans,Jessica Cleiss-Arnold,50
Multiple controls affect arsenite oxidase gene expression in Herminiimonas arsenicoxydans,Caroline Proux,N/A
Multiple controls affect arsenite oxidase gene expression in Herminiimonas arsenicoxydans,Marie-Agnès Dillies,N/A
Multiple controls affect arsenite oxidase gene expression in Herminiimonas arsenicoxydans,Odile Sismeiro,N/A
Multidrug resistance protein MdtM adds to the repertoire of antiporters involved in alkaline pH homeostasis in Escherichia coli,Scarlett R Holdsworth,N/A
Genome-wide incorporation dynamics reveal distinct categories of turnover for the histone variant H3.3,Wenfei Jin,50
Genome-wide incorporation dynamics reveal distinct categories of turnover for the histone variant H3.3,Alika K Maunakea,50
Genome-wide incorporation dynamics reveal distinct categories of turnover for the histone variant H3.3,Misook Ha,50
Genome-wide incorporation dynamics reveal distinct categories of turnover for the histone variant H3.3,Brian J. Abraham,50
Honokiol activates AMP-activated protein kinase in breast cancer cells via an LKB1-dependent pathway and inhibits breast carcinogenesis,Michael Y. Bonner,N/A
Honokiol activates AMP-activated protein kinase in breast cancer cells via an LKB1-dependent pathway and inhibits breast carcinogenesis,Neeraj K Saxena,50
Honokiol activates AMP-activated protein kinase in breast cancer cells via an LKB1-dependent pathway and inhibits breast carcinogenesis,Dipali Sharma,50
Honokiol activates AMP-activated protein kinase in breast cancer cells via an LKB1-dependent pathway and inhibits breast carcinogenesis,Arumugam Nagalingam,50
"Loss of plakoglobin promotes decreased cell-cell contact, increased invasion and breast cancer cell dissemination in vivo",Jacob Whitworth,N/A
"Loss of plakoglobin promotes decreased cell-cell contact, increased invasion and breast cancer cell dissemination in vivo",Faith Nutter,50
"Loss of plakoglobin promotes decreased cell-cell contact, increased invasion and breast cancer cell dissemination in vivo",Alyson Evans,50
"Loss of plakoglobin promotes decreased cell-cell contact, increased invasion and breast cancer cell dissemination in vivo",Hannah K Brown,50
A novel function for p21Cip1 and acetyltransferase p/CAF as critical transcriptional regulators of TGFb-mediated breast cancer cell migration and invasion,Amal A Al-Odaini,17
A novel function for p21Cip1 and acetyltransferase p/CAF as critical transcriptional regulators of TGFb-mediated breast cancer cell migration and invasion,Ani Arakelian,N/A
A novel function for p21Cip1 and acetyltransferase p/CAF as critical transcriptional regulators of TGFb-mediated breast cancer cell migration and invasion,Shafaat A Rabbani,N/A
A novel function for p21Cip1 and acetyltransferase p/CAF as critical transcriptional regulators of TGFb-mediated breast cancer cell migration and invasion,Suhad Ali,50
JMJD6 is a driver of cellular proliferation and motility and a marker of poor prognosis in breast cancer,Lance D Miller,N/A
JMJD6 is a driver of cellular proliferation and motility and a marker of poor prognosis in breast cancer,Xiu Bin Chan,11
JMJD6 is a driver of cellular proliferation and motility and a marker of poor prognosis in breast cancer,Michael A. Black,50
JMJD6 is a driver of cellular proliferation and motility and a marker of poor prognosis in breast cancer,Brendan Pang,50
Cyclin D1 cooperates with p21 to regulate TGFb-mediated breast cancer cell migration and tumor local invasion,Amal A Al-Odaini,17
Cyclin D1 cooperates with p21 to regulate TGFb-mediated breast cancer cell migration and tumor local invasion,Manuel Villatoro,N/A
Cyclin D1 cooperates with p21 to regulate TGFb-mediated breast cancer cell migration and tumor local invasion,Jimin Guo,N/A
Cyclin D1 cooperates with p21 to regulate TGFb-mediated breast cancer cell migration and tumor local invasion,Nadège Fils-Aimé,N/A
Ubiquitin-conjugating enzyme complex Uev1A-Ubc13 promotes breast cancer metastasis through nuclear factor-_B mediated matrix metalloproteinase-1 gene regulation,Zhaojia Wu,23
Ubiquitin-conjugating enzyme complex Uev1A-Ubc13 promotes breast cancer metastasis through nuclear factor-_B mediated matrix metalloproteinase-1 gene regulation,Siqi Shen,14
Ubiquitin-conjugating enzyme complex Uev1A-Ubc13 promotes breast cancer metastasis through nuclear factor-_B mediated matrix metalloproteinase-1 gene regulation,Zhiling Zhang,N/A
Ubiquitin-conjugating enzyme complex Uev1A-Ubc13 promotes breast cancer metastasis through nuclear factor-_B mediated matrix metalloproteinase-1 gene regulation,Weiwei Zhang,N/A
Low titre autoantibodies against recoverin in sera of patients with small cell lung cancer but without a loss of vision,Olga N Shifrina,N/A
Low titre autoantibodies against recoverin in sera of patients with small cell lung cancer but without a loss of vision,Marina S. Savchenko,N/A
Low titre autoantibodies against recoverin in sera of patients with small cell lung cancer but without a loss of vision,N K Tikhomirova,N/A
Low titre autoantibodies against recoverin in sera of patients with small cell lung cancer but without a loss of vision,Maria A. Goncharskaia,N/A
Antirecoverin autoantibodies in the patient with non-small cell lung cancer but without cancer-associated retinopathy,Alexandr V. Bazhin,N/A
Antirecoverin autoantibodies in the patient with non-small cell lung cancer but without cancer-associated retinopathy,Olga N Shifrina,N/A
Antirecoverin autoantibodies in the patient with non-small cell lung cancer but without cancer-associated retinopathy,Sofia A Demoura,N/A
Antirecoverin autoantibodies in the patient with non-small cell lung cancer but without cancer-associated retinopathy,Eugenia A. Kogan,N/A
Up-regulation of focal adhesion kinase in non-small cell lung cancer,Giorgia Zadra,N/A
Up-regulation of focal adhesion kinase in non-small cell lung cancer,Valentina Vaira,N/A
Up-regulation of focal adhesion kinase in non-small cell lung cancer,Monica Falleni,50
Up-regulation of focal adhesion kinase in non-small cell lung cancer,Luca Bottiglieri,50
In vitro susceptibility to the pro-apoptotic effects of TIMP-3 gene delivery translates to greater in vivo efficacy versus gene delivery for TIMPs-1 or -2,A Drynda,N/A
In vitro susceptibility to the pro-apoptotic effects of TIMP-3 gene delivery translates to greater in vivo efficacy versus gene delivery for TIMPs-1 or -2,Christian A Seemayer,N/A
In vitro susceptibility to the pro-apoptotic effects of TIMP-3 gene delivery translates to greater in vivo efficacy versus gene delivery for TIMPs-1 or -2,Paul H. A. Quax,N/A
In vitro susceptibility to the pro-apoptotic effects of TIMP-3 gene delivery translates to greater in vivo efficacy versus gene delivery for TIMPs-1 or -2,J H Verheijen,N/A
Ellipticine-induced apoptosis depends on Akt translocation and signaling in lung epithelial cancer cells,Chia-Wei Lin,N/A
Ellipticine-induced apoptosis depends on Akt translocation and signaling in lung epithelial cancer cells,Kang Fang,N/A
Ellipticine-induced apoptosis depends on Akt translocation and signaling in lung epithelial cancer cells,Wan-Chun Cheng,N/A
Ellipticine-induced apoptosis depends on Akt translocation and signaling in lung epithelial cancer cells,Hwei-Tien Huang,N/A
Kaiso is expressed in lung cancer: Its expression and localization is affected by p120ctn,Yan Wang,N/A
Kaiso is expressed in lung cancer: Its expression and localization is affected by p120ctn,Gui-Yang Jiang,N/A
Kaiso is expressed in lung cancer: Its expression and localization is affected by p120ctn,Peng-Xin Zhang,26
Kaiso is expressed in lung cancer: Its expression and localization is affected by p120ctn,Xin-Jun Dong,N/A
